epoch,train_mse,test_mse,train_r2,test_r2,lr
222,0.01531010,0.01824254,0.98468995,0.98068076,0.00100000
223,0.01685230,0.01993671,0.98314774,0.97884333,0.00100000
224,0.01436108,0.01810176,0.98563892,0.98090291,0.00100000
225,0.01411396,0.01787439,0.98588610,0.98103213,0.00100000
226,0.01445482,0.01716622,0.98554516,0.98184359,0.00100000
227,0.01698130,0.01933447,0.98301876,0.97949696,0.00100000
228,0.01227062,0.01591486,0.98772937,0.98310947,0.00100000
229,0.01342282,0.01665427,0.98657715,0.98240113,0.00100000
230,0.01274552,0.01611446,0.98725450,0.98289603,0.00100000
231,0.01337226,0.01613619,0.98662776,0.98289490,0.00100000
232,0.01427588,0.01776950,0.98572409,0.98121053,0.00100000
233,0.01460965,0.01728171,0.98539037,0.98173726,0.00100000
234,0.01530662,0.01862542,0.98469341,0.98024720,0.00100000
235,0.01388909,0.01740541,0.98611093,0.98156673,0.00100000
236,0.01398072,0.01807955,0.98601925,0.98084736,0.00100000
237,0.01321918,0.01632670,0.98678082,0.98267514,0.00100000
238,0.01460173,0.01694310,0.98539823,0.98207843,0.00100000
239,0.01470068,0.01761504,0.98529935,0.98130488,0.00100000
240,0.01357956,0.01765073,0.98642051,0.98131317,0.00100000
241,0.01341253,0.01657677,0.98658746,0.98239321,0.00100000
242,0.01499381,0.01871174,0.98500615,0.98020196,0.00100000
243,0.01729987,0.02094314,0.98270011,0.97795695,0.00100000
244,0.01451334,0.01727572,0.98548663,0.98170018,0.00100000
245,0.01644858,0.01960025,0.98355138,0.97926837,0.00100000
246,0.01743857,0.01903327,0.98256147,0.97984219,0.00100000
247,0.01452589,0.01719232,0.98547411,0.98182368,0.00100000
248,0.01562063,0.01902897,0.98437935,0.97991651,0.00100000
249,0.01445941,0.01735054,0.98554057,0.98167288,0.00100000
250,0.01253308,0.01612571,0.98746693,0.98287141,0.00100000
251,0.01703023,0.02039221,0.98296976,0.97834265,0.00100000
252,0.01393532,0.01668423,0.98606473,0.98233712,0.00100000
253,0.01573583,0.01961412,0.98426414,0.97916234,0.00100000
