trial_id,hidden_dims,output,MSE,RMSE,MAE,R2,MaxAbsErr,MeanRelErr%,P95RelErr%,P99RelErr%,MeanBias,StdErr
130,"[256, 512, 256]",Fz,0.002174,0.046631,0.035013,0.997900,0.229924,18.785561,59.445478,238.210918,0.001589,0.046604
130,"[256, 512, 256]",Torque,0.000970,0.031142,0.024090,0.998994,0.147321,46.238773,33.688981,146.922626,-0.003284,0.030969
69,"[128, 256, 128]",Fx,0.001378,0.037128,0.027935,0.998593,0.159702,10.501036,28.658733,151.221703,-0.002057,0.037071
69,"[128, 256, 128]",Fy,0.041857,0.204589,0.145940,0.955093,1.413522,112.225235,228.910007,1506.197720,-0.002589,0.204572
69,"[128, 256, 128]",Fz,0.002412,0.049112,0.037270,0.997670,0.199238,18.246021,61.371542,257.778330,-0.005620,0.048789
69,"[128, 256, 128]",Torque,0.001234,0.035124,0.026926,0.998720,0.142781,45.512039,31.655574,221.085712,-0.001921,0.035072
335,"[128, 256, 512, 256]",Fx,0.001059,0.032537,0.025708,0.998919,0.207844,10.257183,27.362698,102.698632,0.003512,0.032346
335,"[128, 256, 512, 256]",Fy,0.042493,0.206138,0.145022,0.954410,1.467108,118.679771,222.037923,1323.766428,0.001786,0.206131
335,"[128, 256, 512, 256]",Fz,0.002205,0.046953,0.034804,0.997871,0.278025,20.015945,59.192559,272.939570,-0.004570,0.046730
335,"[128, 256, 512, 256]",Torque,0.001128,0.033579,0.026919,0.998830,0.117245,60.428440,35.813628,246.979209,0.008184,0.032567
114,"[256, 512, 256]",Fx,0.001523,0.039028,0.030106,0.998445,0.180941,13.112519,28.842943,144.408769,-0.009616,0.037825
114,"[256, 512, 256]",Fy,0.042027,0.205005,0.145803,0.954910,1.394103,118.141029,219.715550,1460.914349,0.000247,0.205005
114,"[256, 512, 256]",Fz,0.002267,0.047617,0.037235,0.997810,0.216785,21.214207,59.447972,254.576519,0.011067,0.046313
114,"[256, 512, 256]",Torque,0.001108,0.033291,0.026581,0.998850,0.127893,28.539055,34.643994,238.884162,0.002237,0.033215
339,"[256, 512, 512, 256]",Fx,0.001090,0.033012,0.025489,0.998888,0.139501,10.393214,27.926577,120.419171,-0.001988,0.032952
339,"[256, 512, 512, 256]",Fy,0.042674,0.206578,0.147853,0.954215,1.216769,96.592690,220.312943,1173.062566,0.000599,0.206577
339,"[256, 512, 512, 256]",Fz,0.002105,0.045882,0.035024,0.997967,0.221122,21.484529,52.921596,212.758479,0.003475,0.045750
339,"[256, 512, 512, 256]",Torque,0.001076,0.032801,0.025630,0.998884,0.132056,26.413553,36.872428,155.559818,0.002713,0.032689
354,"[256, 512, 512, 256]",Fx,0.001141,0.033784,0.026880,0.998835,0.167560,10.290541,30.841830,96.960431,0.006932,0.033066
354,"[256, 512, 512, 256]",Fy,0.042574,0.206335,0.144354,0.954323,1.512897,123.277069,228.123989,1309.100441,0.006917,0.206219
354,"[256, 512, 512, 256]",Fz,0.002135,0.046203,0.034746,0.997938,0.227557,21.124006,54.201781,232.724182,-0.002120,0.046154
354,"[256, 512, 512, 256]",Torque,0.001114,0.033382,0.026071,0.998844,0.188343,77.750778,29.280529,136.801715,0.003786,0.033166
12,"[64, 128, 64]",Fx,0.001148,0.033878,0.026450,0.998828,0.165938,11.437541,38.844115,161.720337,-0.001540,0.033843
12,"[64, 128, 64]",Fy,0.042552,0.206282,0.147084,0.954346,1.326289,125.619316,229.296774,1441.730918,-0.008647,0.206101
12,"[64, 128, 64]",Fz,0.002271,0.047660,0.036789,0.997806,0.248845,20.481464,64.185814,193.001303,-0.002387,0.047600
12,"[64, 128, 64]",Torque,0.001083,0.032902,0.025856,0.998877,0.127105,32.418987,35.120277,209.979701,-0.001409,0.032872
118,"[256, 512, 256]",Fx,0.001295,0.035992,0.027263,0.998678,0.172354,10.487950,34.567274,103.372779,0.000047,0.035992
118,"[256, 512, 256]",Fy,0.042026,0.205002,0.145996,0.954911,1.320408,108.550987,204.823824,1331.501671,-0.000434,0.205001
118,"[256, 512, 256]",Fz,0.002586,0.050853,0.038583,0.997502,0.279210,18.842566,67.253522,257.656098,-0.007568,0.050286
118,"[256, 512, 256]",Torque,0.001148,0.033883,0.025374,0.998809,0.168511,96.745148,32.979102,163.691691,-0.000403,0.033880
283,"[64, 128, 256, 128]",Fx,0.001781,0.042198,0.032652,0.998182,0.226544,11.150694,32.717867,112.790963,-0.007146,0.041589
283,"[64, 128, 256, 128]",Fy,0.040436,0.201086,0.142804,0.956617,1.346133,99.120605,227.352425,995.895556,0.003010,0.201064
283,"[64, 128, 256, 128]",Fz,0.003201,0.056581,0.043317,0.996908,0.230830,26.177610,75.880694,318.000920,-0.006786,0.056173
283,"[64, 128, 256, 128]",Torque,0.001688,0.041088,0.031785,0.998249,0.186845,60.161221,37.212207,216.503909,-0.008867,0.040119
435,"[128, 256, 512, 256, 128]",Fx,0.001603,0.040040,0.031225,0.998363,0.178442,15.311819,40.508770,157.082725,0.016213,0.036610
435,"[128, 256, 512, 256, 128]",Fy,0.041470,0.203643,0.145198,0.955507,1.447015,110.052254,203.711340,1180.456086,-0.003682,0.203609
