rank,hidden_dims,depth,width,lr,weight_decay,dropout,params,best_epoch,total_epochs,n_train,n_test,test_mse,test_rmse,test_mae,test_r2,train_mse,train_r2,overfit_gap,time_sec,Fx_R2,Fx_MAE,Fx_RMSE,Fx_MAPE%,Fy_R2,Fy_MAE,Fy_RMSE,Fy_MAPE%,Fz_R2,Fz_MAE,Fz_RMSE,Fz_MAPE%,Torque_R2,Torque_MAE,Torque_RMSE,Torque_MAPE%
266,"[64, 128, 256, 256, 128]",5,256,0.000500,0.001000,0.000000,145284,726,1027,5760,1440,0.012685,0.112629,0.064724,0.986504,0.003998,0.996002,0.009499,692.400000,0.997816,0.036064,0.046251,13.138673,0.952488,0.151268,0.210438,129.087723,0.997444,0.038845,0.051445,21.876646,0.998267,0.032720,0.040880,63.481739
267,"[256, 512, 512, 256]",4,512,0.001000,0.000100,0.200000,541956,746,1047,5760,1440,0.012686,0.112633,0.065439,0.986542,0.004587,0.995413,0.008871,661.500000,0.997430,0.038461,0.050178,11.275863,0.954369,0.144579,0.206230,104.920151,0.996257,0.045838,0.062250,21.084639,0.998111,0.032876,0.042677,37.379070
268,"[128, 256, 128]",3,256,0.001000,0.000100,0.200000,73604,621,922,5760,1440,0.012688,0.112640,0.065559,0.986522,0.006196,0.993804,0.007282,481.900000,0.997753,0.036062,0.046916,11.415926,0.953832,0.145633,0.207441,102.595657,0.996923,0.043329,0.056446,21.148031,0.997581,0.037214,0.048289,63.090523
269,"[128, 256, 512, 256, 128]",5,512,0.000100,0.000100,0.100000,338052,312,613,5760,1440,0.012692,0.112661,0.065232,0.986510,0.004382,0.995618,0.009107,408.200000,0.998006,0.033583,0.044200,13.563048,0.953249,0.149494,0.208745,106.334732,0.997002,0.042998,0.055718,22.600992,0.997784,0.034854,0.046226,57.224739
270,"[256, 512, 512, 256]",4,512,0.000500,0.000010,0.100000,541956,206,507,5760,1440,0.012693,0.112664,0.064983,0.986502,0.004205,0.995795,0.009293,319.500000,0.997899,0.034956,0.045370,13.942071,0.953094,0.148480,0.209091,95.153778,0.997372,0.040133,0.052162,19.419056,0.997641,0.036363,0.047692,37.011936
271,"[64, 128, 128, 64]",4,128,0.001000,0.001000,0.000000,37188,832,1133,5760,1440,0.012695,0.112673,0.064531,0.986495,0.006881,0.993119,0.006624,669.400000,0.997983,0.034026,0.044450,13.401817,0.952368,0.153411,0.210703,105.722137,0.997289,0.039765,0.052980,18.433647,0.998338,0.030923,0.040026,100.021271
272,"[64, 128, 256, 128]",4,256,0.000500,0.000010,0.000000,78980,436,737,5760,1440,0.012698,0.112687,0.062435,0.986485,0.002263,0.997737,0.011252,419.800000,0.998777,0.027257,0.034609,9.834379,0.951503,0.153249,0.212609,106.618782,0.997091,0.040543,0.054878,21.244040,0.998567,0.028692,0.037169,45.962162
273,"[64, 128, 64]",3,128,0.000500,0.000100,0.200000,20420,970,1271,5760,1440,0.012720,0.112784,0.069904,0.986518,0.005974,0.994026,0.007508,676.200000,0.997512,0.039950,0.049371,14.362055,0.954933,0.148186,0.204952,93.679993,0.995856,0.053329,0.065503,25.428699,0.997773,0.038151,0.046341,83.257118
274,"[64, 128, 256, 256, 128]",5,256,0.000100,0.000010,0.100000,145284,710,1011,5760,1440,0.012726,0.112812,0.065198,0.986488,0.003840,0.996160,0.009672,656.900000,0.998013,0.034169,0.044116,12.123274,0.953551,0.146951,0.208071,88.227158,0.996425,0.045673,0.060843,27.154882,0.997963,0.033999,0.044320,34.289902
275,"[128, 256, 512, 256, 128]",5,512,0.000100,0.000010,0.100000,338052,409,710,5760,1440,0.012739,0.112869,0.064113,0.986448,0.003385,0.996615,0.010166,471.400000,0.998366,0.030477,0.040008,13.254210,0.951945,0.153515,0.211638,102.794083,0.997034,0.042622,0.055413,21.462671,0.998448,0.029838,0.038676,39.910839
276,"[64, 128, 256, 128]",4,256,0.001000,0.001000,0.000000,78980,1110,1411,5760,1440,0.012747,0.112902,0.063925,0.986434,0.005855,0.994145,0.007711,831.400000,0.998369,0.032246,0.039976,11.706411,0.951732,0.151024,0.212106,122.594780,0.997316,0.040373,0.052714,24.054445,0.998318,0.032059,0.040268,53.088985
277,"[64, 128, 64]",3,128,0.000500,0.001000,0.200000,20420,923,1224,5760,1440,0.012752,0.112924,0.067079,0.986456,0.006818,0.993182,0.006727,780.400000,0.997562,0.038887,0.048874,14.530439,0.953488,0.148320,0.208213,100.981445,0.996812,0.045595,0.057451,27.401459,0.997961,0.035513,0.044336,111.986610
278,"[256, 512, 512, 256]",4,512,0.000100,0.000100,0.100000,541956,477,778,5760,1440,0.012756,0.112941,0.063933,0.986438,0.002227,0.997773,0.011335,489.300000,0.998446,0.030442,0.039011,10.052358,0.952368,0.149294,0.210704,124.368683,0.996842,0.042916,0.057177,20.858828,0.998096,0.033078,0.042846,42.066887
279,"[128, 256, 256, 128, 64]",5,256,0.000500,0.000100,0.100000,148036,814,1115,5760,1440,0.012762,0.112969,0.066923,0.986458,0.003482,0.996518,0.010059,784.800000,0.997109,0.039832,0.053213,16.279736,0.954365,0.149095,0.206239,101.074638,0.996592,0.043944,0.059402,23.140093,0.997766,0.034823,0.046405,61.586208
280,"[128, 256, 512, 256, 128]",5,512,0.005000,0.000010,0.100000,338052,1218,1519,5760,1440,0.012769,0.113001,0.064762,0.986423,0.004432,0.995568,0.009145,1038.400000,0.998043,0.033658,0.043788,12.383067,0.952385,0.148628,0.210666,107.544823,0.997010,0.043828,0.055638,20.434921,0.998254,0.032934,0.041031,75.158592
281,"[64, 128, 128, 64]",4,128,0.001000,0.000100,0.100000,37188,1033,1334,5760,1440,0.012780,0.113049,0.068516,0.986448,0.004864,0.995136,0.008688,750.400000,0.997353,0.039727,0.050926,13.857753,0.954549,0.148301,0.205822,97.025391,0.996194,0.048870,0.062772,22.629875,0.997694,0.037165,0.047152,68.800980
282,"[64, 128, 256, 256, 128]",5,256,0.001000,0.000100,0.100000,145284,623,924,5760,1440,0.012788,0.113085,0.066002,0.986406,0.004568,0.995432,0.009027,628.900000,0.998305,0.032591,0.040747,14.271167,0.952474,0.152206,0.210468,119.685753,0.996838,0.044846,0.057215,17.698763,0.998006,0.034366,0.043843,80.993713
283,"[256, 512, 512, 256]",4,512,0.005000,0.000010,0.100000,541956,684,985,5760,1440,0.012792,0.113100,0.066073,0.986413,0.005457,0.994543,0.008130,624.300000,0.997856,0.034725,0.045825,11.685184,0.953297,0.150837,0.208640,106.239883,0.996735,0.042709,0.058143,17.841330,0.997764,0.036021,0.046426,36.302513
284,"[64, 128, 128, 64]",4,128,0.000500,0.001000,0.000000,37188,574,875,5760,1440,0.012792,0.113103,0.062871,0.986376,0.005218,0.994782,0.008407,490.800000,0.998187,0.032067,0.042147,12.896954,0.950997,0.154408,0.213715,117.453384,0.997595,0.037726,0.049896,18.794624,0.998725,0.027284,0.035063,63.023525
285,"[128, 256, 256, 128]",4,256,0.005000,0.000000,0.100000,139908,396,697,5760,1440,0.012794,0.113111,0.065389,0.986406,0.003967,0.996033,0.009627,410.400000,0.998290,0.032527,0.040928,11.310965,0.952525,0.150651,0.210356,86.168808,0.996526,0.045727,0.059973,28.167604,0.998283,0.032649,0.040685,73.139236
286,"[64, 128, 256, 128]",4,256,0.000100,0.000100,0.200000,78980,794,1095,5760,1440,0.012795,0.113114,0.067236,0.986410,0.005190,0.994810,0.008400,643.200000,0.998124,0.034350,0.042873,15.798050,0.953119,0.150696,0.209036,84.507523,0.996574,0.047359,0.059557,26.261616,0.997824,0.036540,0.045804,79.362007
287,"[128, 256, 512, 256]",4,512,0.000500,0.000100,0.200000,305412,234,535,5760,1440,0.012796,0.113120,0.067377,0.986409,0.006713,0.993287,0.006878,330.400000,0.997863,0.036614,0.045750,13.393625,0.953411,0.150182,0.208385,90.198532,0.996736,0.043643,0.058132,20.360392,0.997627,0.039071,0.047828,44.921539
288,"[128, 256, 256, 128]",4,256,0.001000,0.000100,0.200000,139908,949,1250,5760,1440,0.012796,0.113121,0.067561,0.986425,0.004669,0.995331,0.008906,792.800000,0.997581,0.037829,0.048681,12.623231,0.954318,0.149330,0.206346,139.927872,0.996338,0.045757,0.061572,19.354002,0.997464,0.037329,0.049451,95.723503
289,"[256, 512, 512, 256]",4,512,0.005000,0.000000,0.100000,541956,735,1036,5760,1440,0.012799,0.113131,0.064339,0.986384,0.002025,0.997975,0.011591,625.300000,0.998207,0.034005,0.041911,10.715124,0.951878,0.148906,0.211784,93.037285,0.997208,0.041647,0.053765,16.709183,0.998242,0.032798,0.041170,46.637115
290,"[128, 256, 256, 128, 64]",5,256,0.005000,0.000100,0.000000,148036,997,1298,5760,1440,0.012800,0.113135,0.064425,0.986393,0.007650,0.992350,0.005956,857.400000,0.998257,0.031827,0.041319,12.750058,0.952333,0.151159,0.210782,114.890274,0.996837,0.043179,0.057225,21.407469,0.998146,0.031534,0.042278,38.162361
291,"[128, 256, 512, 256]",4,512,0.000100,0.000100,0.000000,305412,1103,1404,5760,1440,0.012800,0.113139,0.062968,0.986367,0.001058,0.998942,0.012576,869.500000,0.998559,0.029887,0.037567,10.585909,0.950858,0.152787,0.214019,126.041969,0.997489,0.039483,0.050985,21.510294,0.998562,0.029717,0.037241,36.580814
